date,Central bank liquidity swaps,"Commercial paper held by Commercial Paper Funding Facility LLC, book value (Effective 2020-06-10, Through 2022-06-29)","Commercial paper held by Commercial Paper Funding Facility LLC, book value, Maturing within 15 days (Effective 2020-06-10, Through 2022-06-29)","Commercial paper held by Commercial Paper Funding Facility LLC, book value, Maturing within 16 days to 90 days (Effective 2020-06-10, Through 2022-06-29)","Commercial paper held by Commercial Paper Funding Facility LLC, book value, Maturing within 91 days to 1 year (Effective 2020-06-10, Through 2022-06-29)","Commercial paper held by Commercial Paper Funding Facility LLC, face value (Post 2020-04-14)","Commercial paper held by Commercial Paper Funding Facility LLC, face value, Maturing within 15 days (Post 2020-04-14)","Commercial paper held by Commercial Paper Funding Facility LLC, face value, Maturing within 16 days to 90 days (Post 2020-04-14)","Commercial paper held by Commercial Paper Funding Facility LLC, face value, Maturing within 91 days to 1 year (Post 2020-04-14)",Loan participations held by MS Facilities 2020 LLC (Main Street Lending Program) Maturing within 16 days to 90 days (Effective 2020-06-01),"Loan participations held by MS Facilities 2020 LLC (Main Street Lending Program), Book Value (Effective 2020-06-01)","Loan participations held by MS Facilities 2020 LLC (Main Street Lending Program), Maturing over 1 year to 5 years (Effective 2020-06-01)","Loan participations held by MS Facilities 2020 LLC (Main Street Lending Program), Maturing within 15 days (Effective 2020-06-01)","Loan participations held by MS Facilities 2020 LLC (Main Street Lending Program), Maturing within 91 days to 1 year (Effective 2020-06-01)",Asset-Backed Commercial Paper Money Market Mutual Fund Liquidity Facility (Through 2010-02-03),"Bank Term Funding Program, net","Credit extended to American International Group, Inc., Net","Money Market Mutual Fund Liquidity Facility (Post 2020-03-18, Through 2022-04-20)",Other credit extensions,Primary credit,Primary dealer and other broker-dealer credit (Through 2010-02-03),"Primary dealer credit facility (Post 2020-03-17, Through 2022-04-20)",Seasonal credit,Secondary credit,Term Asset-Backed Securities Loan Facility,"Loans held by TALF II LLC (Book Value), (Effective 2020-06-16)","Loans held by TALF II LLC (Book Value), Maturing over 1 year to 5 years (Effective 2020-06-16)","Loans held by TALF II LLC (Book Value), Maturing within 15 days (Effective 2020-06-16)","Loans held by TALF II LLC (Book Value), Maturing within 16 days to 90 days (Effective 2020-06-16)","Loans held by TALF II LLC (Book Value), Maturing within 91 days to 1 year (Effective 2020-06-16)",Payroll Protection Program Liquidity Facility,"Municipal notes held by Municipal Liquidity Facility LLC, Book  Value (Effective 2020-06-10)","Municipal notes held by Municipal Liquidity Facility LLC, Maturing over 1 year to 5 years (Effective 2020-06-10)","Municipal notes held by Municipal Liquidity Facility LLC, Maturing within 15 days (Effective 2020-06-10)","Municipal notes held by Municipal Liquidity Facility LLC, Maturing within 16 days to 90 days (Effective 2020-06-10)","Municipal notes held by Municipal Liquidity Facility LLC, Maturing within 91 days to 1 year (Effective 2020-06-10)","Net portfolio holdings of Commercial Paper Funding Facility II LLC (Post 2020-04-14, Through 2022-06-29)",Net portfolio holdings of Commercial Paper Funding Facility LLC,"Net portfolio holdings of Corporate Credit Facility LLC (Post 2020-05-13, Through 2022-12-28)",Net portfolio holdings of LLCs funded through the Money Market Investor Funding Facility,Net portfolio holdings of MS Facilities 2020 LLC (Main Street Lending Program) (Effective 2020-06-01),Net portfolio holdings of Municipal Liquidity Facility LLC (Effective 2020-05-26),Net portfolio holdings of TALF II LLC (Effective 2020-06-16),Term auction credit,Net portfolio holdings of Maiden Lane II LLC,Net portfolio holdings of Maiden Lane III LLC,Net portfolio holdings of Maiden Lane LLC,Net portfolio holdings of TALF LLC,Bank premises,Coin,Gold certificate account,Interdistrict settlement account,Items in process of collection,"Other Assets, Consolidated Table",Repurchase agreements,Special drawing rights certificate account,Preferred interests in AIA Aurora LLC and ALICO Holdings LLC,Federal agency debt securities,Mortgage-backed securities,Bills,Inflation compensation,"Notes and bonds, inflation-indexed","Notes and bonds, nominal"
2007-08-15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,260,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2067,1038,11037,0,3297,6648,24000,2200,0,0,0,277019,4688,35753,472142
2007-08-22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2001,0,0,261,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2068,1017,11037,0,3389,7156,19000,2200,0,0,0,277019,4706,35753,472142
2007-08-29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1101,0,0,257,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2071,1014,11037,0,3971,7631,33750,2200,0,0,0,272019,4723,35753,472142
2007-09-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1106,0,0,232,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2079,1017,11037,0,7235,7420,35000,2200,0,0,0,267019,4727,35753,472142
2007-09-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7152,0,0,234,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2082,1049,11037,0,4664,7967,45000,2200,0,0,0,267019,4724,35753,472142
2007-09-19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1115,0,0,244,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2086,1090,11037,0,4165,8154,32750,2200,0,0,0,267019,4722,35753,472142
2007-09-26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,207,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2090,1105,11037,0,3378,8625,56000,2200,0,0,0,267019,4719,35753,472142
2007-10-03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,0,0,153,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2103,1120,11037,0,3501,8469,35250,2200,0,0,0,267019,4711,35753,472142
2007-10-10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,0,0,133,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2103,1143,11037,0,6369,9003,50000,2200,0,0,0,267019,4694,35753,472142
2007-10-17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,98,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2105,1179,11037,0,2061,9121,36250,2200,0,0,0,267019,4677,35753,472142
2007-10-24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,98,402,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2106,1216,11037,0,2937,9623,46000,2200,0,0,0,267019,4661,35753,472142
2007-10-31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,82,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2118,1251,11037,0,2869,9458,48500,2200,0,0,0,267019,4672,36911,470984
2007-11-07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1300,0,0,44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2110,1230,11037,0,3763,9963,48000,2200,0,0,0,267019,4699,36911,470984
2007-11-14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2111,1203,11037,0,7179,10451,49500,2200,0,0,0,267019,4726,36911,470984
2007-11-21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,45,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2114,1178,11037,0,4934,7448,55000,2200,0,0,0,267019,4756,36911,470984
2007-11-28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2114,1165,11037,0,2039,7851,46000,2200,0,0,0,267019,4779,36911,470984
2007-12-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2108,0,0,38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2118,1190,11037,0,3145,7745,46500,2200,0,0,0,267019,4801,36911,470984
2007-12-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4514,0,0,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2120,1209,11037,0,3099,8123,47750,2200,0,0,0,262019,4821,36911,470984
2007-12-19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4735,0,0,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2124,1198,11037,0,4094,8535,57750,2200,0,0,0,257019,4842,36911,470984
2007-12-26,14000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4513,0,0,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20000,0,0,0,0,2128,1173,11037,0,2376,9053,42500,2200,0,0,0,241856,4862,36911,470984
2008-01-02,24000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4918,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40000,0,0,0,0,2134,1169,11037,0,3021,8890,56750,2200,0,0,0,227841,4892,36911,470984
2008-01-09,24000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1010,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40000,0,0,0,0,2132,1202,11037,0,3216,9372,30500,2200,0,0,0,215360,4948,36911,470984
2008-01-16,24000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5557,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40000,0,0,0,0,2132,1246,11037,0,2726,9439,39000,2200,0,0,0,215360,4452,37463,470984
2008-01-23,24000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50000,0,0,0,0,2137,1294,11037,0,3836,9809,22000,2200,0,0,0,210360,4508,37463,470984
2008-01-30,24000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,43,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50000,0,0,0,0,2140,1369,11037,0,2271,10479,50000,2200,0,0,0,205360,4564,37463,470984
2008-02-06,24000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,458,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,60000,0,0,0,0,2132,1388,11037,0,2406,10291,15500,2200,0,0,0,200360,4570,38437,470010
2008-02-13,24000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,60000,0,0,0,0,2132,1380,11037,0,1915,10802,28000,2200,0,0,0,200360,4563,38437,470010
2008-02-20,10000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1368,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,60000,0,0,0,0,2134,1359,11037,0,4012,7166,38750,2200,0,0,0,200360,4556,38437,470010
2008-02-27,10000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,683,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,60000,0,0,0,0,2138,1352,11037,0,2033,7686,54500,2200,0,0,0,200360,4549,38437,470010
2008-03-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,60000,0,0,0,0,2140,1351,11037,0,2330,7421,52250,2200,0,0,0,200360,4581,38437,470010
2008-03-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,60000,0,0,0,0,2138,1324,11037,0,1878,7926,77000,2200,0,0,0,190360,4629,38437,470010
2008-03-19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,120,28800,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,80000,0,0,0,0,2141,1316,11037,0,1904,8217,62000,2200,0,0,0,152360,4678,38437,465010
2008-03-26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,579,37023,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,80000,0,0,0,0,2143,1321,11037,0,1257,8558,106750,2200,0,0,0,114091,4726,38437,455052
2008-04-02,21000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10341,34443,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100000,0,0,0,0,2145,1340,11037,0,5323,8329,76000,2200,0,0,0,92985,4769,38437,445050
2008-04-09,21000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7343,26479,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100000,0,0,0,0,2142,1356,11037,0,1941,8774,120000,2200,0,0,0,81828,4798,38437,435051
2008-04-16,36000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8831,25655,0,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100000,0,0,0,0,2143,1381,11037,0,2001,8792,104250,2200,0,0,0,70317,4827,38437,435051
2008-04-23,36000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13462,18555,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100000,0,0,0,0,2146,1422,11037,0,2911,9330,109500,2200,0,0,0,70317,4857,38437,435051
2008-04-30,36000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11964,17775,0,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100000,0,0,0,0,2158,1460,11037,0,1942,9182,115500,2200,0,0,0,70317,4887,39171,434317
2008-05-07,36000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11490,16260,0,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100000,0,0,0,0,2145,1431,11037,0,1854,9564,130500,2200,0,0,0,65752,4973,39171,426818
2008-05-14,52000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13382,14485,0,38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,125000,0,0,0,0,2147,1386,11037,0,2712,9865,100000,2200,0,0,0,49610,5059,39171,421816
2008-05-21,52000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15264,13555,0,52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,125000,0,0,0,0,2151,1345,11037,0,1309,7066,134000,2200,0,0,0,41155,5146,39171,417391
2008-05-28,62000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19041,10125,0,56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,150000,0,0,0,0,2152,1318,11037,0,2825,7339,115000,2200,0,0,0,34296,5232,39171,412392
2008-06-04,62000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12966,7750,0,77,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,150000,0,0,0,0,2152,1325,11037,0,2364,7255,119750,2200,0,0,0,30069,5305,39171,412392
2008-06-11,62000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13450,8520,0,67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,150000,0,0,0,0,2149,1339,11037,0,1721,7812,118250,2200,0,0,0,25143,5368,39171,412392
2008-06-18,62000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13667,8145,0,77,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,150000,0,0,0,0,2154,1329,11037,0,1644,7998,133500,2200,0,0,0,21740,5431,39171,412392
2008-06-25,62000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13637,1690,0,76,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,150000,0,0,0,0,2154,1333,11037,0,1697,8351,129750,2200,0,0,0,21740,5494,39171,412392
2008-07-02,62000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12814,0,0,105,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,150000,0,0,28893,0,2154,1317,11037,0,1892,8340,113000,2200,0,0,0,21740,5563,39171,412392
2008-07-09,62000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12985,0,0,97,250,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,150000,0,0,28944,0,2154,1299,11037,0,2287,8696,107000,2200,0,0,0,21740,5648,39171,412392
2008-07-16,62000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16097,0,0,94,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,150000,0,0,29019,0,2157,1311,11037,0,1676,8811,116750,2200,0,0,0,21740,5733,39171,412392
2008-07-23,62000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17675,0,0,94,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,150000,0,0,29059,0,2158,1334,11037,0,2059,9066,103750,2200,0,0,0,21740,5818,39171,412392
2008-07-30,62000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17279,0,0,98,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,150000,0,0,29099,0,2161,1386,11037,0,1294,9583,123250,2200,0,0,0,21740,5903,39171,412392
2008-08-06,62000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17407,0,0,97,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,150000,0,0,29139,0,2160,1379,11037,0,3678,9513,104750,2200,0,0,0,21740,6027,39832,411731
2008-08-13,62000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17552,0,0,99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,150000,0,0,29179,0,2162,1378,11037,0,2133,9988,118250,2200,0,0,0,21740,6131,39832,411731
2008-08-20,67000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18469,0,0,94,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,150000,0,0,29207,0,2163,1402,11037,0,1447,6481,100750,2200,0,0,0,21740,6235,39832,411731
2008-08-27,67000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18901,0,0,102,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,150000,0,0,29247,0,2166,1415,11037,0,1487,6973,111000,2200,0,0,0,21740,6339,39832,411731
2008-09-03,62000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19000,0,0,90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,150000,0,0,29287,0,2162,1414,11037,0,4109,6692,109000,2200,0,0,0,21740,6423,39832,411731
2008-09-10,62000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23455,0,0,101,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,150000,0,0,29327,0,2165,1445,11037,0,2079,7163,126750,2200,0,0,0,21740,6480,39832,411731
2008-09-17,62000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28000,0,0,33401,59780,0,95,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,150000,0,0,29367,0,2168,1468,11037,0,1403,7447,98000,2200,0,0,0,21740,6536,39832,411731
2008-09-24,141900,0,0,0,0,0,0,0,0,0,0,0,0,0,72667,0,44566,0,0,39327,105662,0,101,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,150000,0,0,29407,0,2169,1494,11037,0,1442,8066,86000,2200,0,10000,0,18423,6593,39832,411731
2008-10-01,286432,0,0,0,0,0,0,0,0,0,0,0,0,0,152108,0,61283,0,0,49524,146565,0,42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,149000,0,0,29447,0,2167,1509,11037,0,1789,8185,83000,2200,0,14500,0,18423,6635,39832,411731
2008-10-08,335184,0,0,0,0,0,0,0,0,0,0,0,0,0,139481,0,70304,0,0,98107,122940,0,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,149000,0,0,29487,0,2170,1522,11037,0,1653,8872,100000,2200,0,14105,0,18423,6593,39832,411731
2008-10-15,406882,0,0,0,0,0,0,0,0,0,0,0,0,0,122763,0,82860,0,0,101853,133871,0,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,263092,0,0,29526,0,2170,1546,11037,0,4882,9238,80000,2200,0,14105,0,18423,6569,40806,410757
2008-10-22,477159,0,0,0,0,0,0,0,0,0,0,0,0,0,107895,0,90323,0,0,107547,102377,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,263092,0,0,26802,0,2172,1584,11037,0,1439,10023,80000,2200,0,14105,0,18423,6526,40806,410757
2008-10-29,498860,0,0,0,0,0,0,145713,0,0,0,0,0,0,96010,0,83548,0,0,110737,79453,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,144808,0,0,0,0,0,301363,0,0,26848,0,2174,1645,11037,0,1441,10448,80000,2200,0,13620,0,18423,6484,40806,410757
2008-11-05,528355,0,0,0,0,0,0,244593,0,0,0,0,0,0,85097,0,81215,0,0,108567,71642,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,243305,0,0,0,0,0,301363,0,0,26863,0,2169,1648,11037,0,1862,10679,80000,2200,0,13235,0,18423,6470,41071,410491
2008-11-12,569716,0,0,0,0,0,0,258480,0,0,0,0,0,0,76546,0,83581,0,0,99180,56653,0,12,106,0,0,0,0,0,0,0,0,0,0,0,0,0,257287,0,0,0,0,0,415302,0,0,26949,0,2171,1640,11037,0,1602,11077,80000,2200,0,12969,0,18423,6455,41071,410491
2008-11-19,562090,0,0,0,0,0,0,271969,0,0,0,0,0,0,61923,0,87397,0,0,92645,46611,0,8,118,0,0,0,0,0,0,0,0,0,0,0,0,0,270879,0,0,0,0,0,415302,0,0,26919,0,2178,1648,11037,0,1573,7137,80000,2200,0,12501,0,18423,6440,41071,410491
2008-11-26,475435,0,0,0,0,0,0,295108,0,0,0,0,0,0,53309,0,55936,0,0,91725,57886,0,6,186,0,0,0,0,0,0,0,0,0,0,0,0,0,294094,0,0,0,0,0,406508,0,21148,26979,0,2180,1642,11037,0,1594,6947,80000,2200,0,12221,0,18423,6422,41071,410491
2008-12-03,506819,0,0,0,0,0,0,304759,0,0,0,0,0,0,49234,0,55950,0,0,87813,55619,0,3,132,0,0,0,0,0,0,0,0,0,0,0,0,0,303880,0,0,0,0,0,406508,0,21183,27082,0,2175,1640,11037,0,2024,6855,80000,2200,0,11572,0,18423,6369,41071,410491
2008-12-10,582575,0,0,0,0,0,0,313152,0,0,0,0,0,0,34425,0,57143,0,0,89952,51594,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,312414,0,0,0,0,0,447959,0,19600,26889,0,2176,1661,11037,0,1455,7322,80000,2200,0,15812,0,18423,6261,41071,410491
2008-12-17,583135,0,0,0,0,0,0,319422,0,0,0,0,0,0,27421,0,41550,0,0,90237,47336,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,318843,0,0,0,0,0,447959,20031,19656,26910,0,2185,1677,11037,0,1290,7643,80000,2200,0,17621,0,18423,6152,41071,410491
2008-12-24,552728,0,0,0,0,0,0,332125,0,0,0,0,0,0,23993,0,39507,0,0,84898,38190,0,3,40,0,0,0,0,0,0,0,0,0,0,0,0,0,331686,0,0,0,0,0,450219,20049,28191,26966,0,2186,1680,11037,0,1717,8285,80000,2200,0,20878,0,18423,6029,41071,410491
2008-12-31,553728,0,0,0,0,0,0,334415,0,0,0,0,0,0,23765,0,38914,0,0,93769,37404,0,7,15,0,0,0,0,0,0,0,0,0,0,0,0,0,334102,0,0,0,0,0,450219,20117,26785,27023,0,2194,1688,11037,0,1377,7448,80000,2200,0,19708,0,18423,5936,41071,410491
2009-01-07,538162,0,0,0,0,0,0,334511,0,0,0,0,0,0,21143,0,39120,0,0,83677,34326,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,334409,0,0,0,0,0,384031,19794,26881,27061,0,2182,1704,11037,0,1999,7384,60000,2200,0,19258,0,18423,5732,41071,410491
2009-01-14,510514,0,0,0,0,0,227847,106747,0,0,0,0,0,0,16093,0,39126,0,0,66481,33406,0,0,139,0,0,0,0,0,0,0,0,0,0,0,0,0,334705,0,0,0,0,0,371297,19800,26942,27122,0,2183,1744,11037,0,1680,8007,40000,2200,0,24158,5634,18423,5529,41071,410491
2009-01-21,462796,0,0,0,0,0,248227,102025,0,0,0,0,0,0,14775,0,38333,0,0,62898,33290,0,1,28,0,0,0,0,0,0,0,0,0,0,0,0,0,350524,0,0,0,0,0,416031,19813,26967,27181,0,2184,1789,11037,0,2206,7937,20000,2200,0,24158,5991,18423,4608,39378,412914
2009-01-28,465672,0,0,0,0,0,78132,169446,0,0,0,0,0,0,15967,0,38339,0,0,68288,32196,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,248091,0,0,0,0,0,415631,18964,27456,25772,0,2183,1856,11037,0,1623,8499,0,2200,0,28365,7377,18423,4415,39378,412914
2009-02-04,387448,0,0,0,0,0,31416,226721,0,0,0,0,0,0,16933,0,38644,0,0,66233,27199,0,4,17,0,0,0,0,0,0,0,0,0,0,0,0,0,258664,0,0,0,0,0,412883,18968,27510,25860,0,2180,1915,11037,0,1275,8442,0,2200,0,29915,7377,18423,4268,39378,412914
2009-02-11,390829,0,0,0,0,0,34160,216387,0,0,0,0,0,0,14185,0,37350,0,0,65189,26122,0,4,2,0,0,0,0,0,0,0,0,0,0,0,0,0,251206,0,0,0,0,0,412883,18630,27634,25877,0,2185,1909,11037,0,970,8895,0,2200,0,32150,7377,18423,4155,39378,412914
2009-02-18,375005,0,0,0,0,0,31551,216329,0,0,0,0,0,0,12722,0,37357,0,0,65144,25268,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,248671,0,0,0,0,0,447563,18640,27674,25917,0,2187,1886,11037,0,2131,6224,0,2200,0,33577,65292,18423,4042,39378,412914
2009-02-25,374947,0,0,0,0,0,19664,221920,0,0,0,0,0,0,9980,0,38163,0,0,65590,25163,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,242503,0,0,0,0,0,447563,18647,27695,25969,0,2187,1855,11037,0,1305,6618,0,2200,0,38338,68745,18423,3929,39378,412914
