date,Central bank liquidity swaps,Corporate Credit Facility LLC,Asset-Backed Commercial Paper Money Market Mutual Fund Liquidity Facility (Through 2010-02-03),"Credit extended to American International Group, Inc., Net",Money Market Mutual Fund Liquidity Facility (Post 2020-03-18),Other credit extensions,Payroll Protection Program Liquidity Facility,Primary credit,Primary dealer and other broker-dealer credit (Through 2010-02-03),Primary dealer credit facility (Post 2020-03-17),Seasonal credit,Secondary credit,Term Asset-Backed Securities Loan Facility,Net portfolio holdings of Commercial Paper Funding Facility LLC,Net portfolio holdings of LLCs funded through the Money Market Investor Funding Facility,Term auction credit,Net portfolio holdings of Maiden Lane II LLC,Net portfolio holdings of Maiden Lane III LLC,Net portfolio holdings of Maiden Lane LLC,Net portfolio holdings of TALF LLC,Foreign currency denominated assets,Bank premises,Coin,Gold certificate account,Interdistrict settlement account,Items in process of collection,Net portfolio holdings of Commercial Paper Funding Facility II LLC (Post 2020-04-14),"Other Assets, Consolidated Table",Repurchase agreements,Special drawing rights certificate account,Preferred interests in AIA Aurora LLC and ALICO Holdings LLC,Federal agency debt securities,Mortgage-backed securities,Bills,Inflation compensation,"Notes and bonds, inflation-indexed","Notes and bonds, nominal",Unamortized discounts on securities held outright,Unamortized premiums on securities held outright
2003-02-26,0,0,0,0,0,0,0,1,0,0,5,0,0,0,0,0,0,0,0,0,17330,1557,1100,11039,0,10438,0,8223,25750,2200,0,10,0,230606,1235,12242,391913,-1004,10577
2003-03-05,0,0,0,0,0,0,0,1,0,0,10,0,0,0,0,0,0,0,0,0,17473,1555,1080,11039,0,12127,0,8291,23250,2200,0,10,0,231061,1242,12242,392593,-998,10617
2003-03-12,0,0,0,0,0,0,0,1,0,0,8,0,0,0,0,0,0,0,0,0,17536,1557,1070,11039,0,8981,0,8618,18750,2200,0,10,0,231305,1256,12242,393911,-987,10609
2003-03-19,0,0,0,0,0,0,0,11,0,0,6,0,0,0,0,0,0,0,0,0,16971,1557,1071,11039,0,12609,0,8994,27000,2200,0,10,0,231756,1269,12242,394621,-971,10615
2003-03-26,0,0,0,0,0,0,0,1,0,0,6,0,0,0,0,0,0,0,0,0,17050,1558,1081,11039,0,7796,0,9434,25500,2200,0,10,0,232143,1312,12814,394621,-952,10636
2003-04-02,0,0,0,0,0,0,0,2,0,0,13,0,0,0,0,0,0,0,0,0,17195,1557,1092,11038,0,9550,0,9349,30500,2200,0,10,0,232708,1329,12814,394621,-955,10602
2003-04-09,0,0,0,0,0,0,0,15,0,0,18,0,0,0,0,0,0,0,0,0,17072,1558,1078,11038,0,10193,0,9815,21250,2200,0,10,0,235550,1355,12814,395354,-954,10609
2003-04-16,0,0,0,0,0,0,0,23,0,0,23,0,0,0,0,0,0,0,0,0,17239,1559,1056,11038,0,9509,0,9974,38000,2200,0,10,0,235814,1380,12814,396776,-943,10588
2003-04-23,0,0,0,0,0,0,0,3,0,0,27,0,0,0,0,0,0,0,0,0,17292,1560,1043,11038,0,8848,0,10450,24500,2200,0,10,0,235895,1406,12814,396776,-936,10554
2003-04-30,0,0,0,0,0,0,0,0,0,0,35,0,0,0,0,0,0,0,0,0,17579,1577,1021,11039,0,9339,0,10314,37501,2200,0,10,0,236249,1431,12814,396776,-945,10519
2003-05-07,0,0,0,0,0,0,0,6,0,0,53,0,0,0,0,0,0,0,0,0,17897,1578,1003,11039,0,10480,0,10760,22251,2200,0,10,0,236529,1450,12814,396776,-942,10485
2003-05-14,0,0,0,0,0,0,0,4,0,0,56,0,0,0,0,0,0,0,0,0,18063,1580,983,11039,0,8120,0,11156,30752,2200,0,10,0,236877,1470,12814,396776,-938,10451
2003-05-21,0,0,0,0,0,0,0,1,0,0,54,0,0,0,0,0,0,0,0,0,18174,1581,950,11039,0,7763,0,7568,26251,2200,0,10,0,237568,1489,12814,398853,-928,10466
2003-05-28,0,0,0,0,0,0,0,0,0,0,62,0,0,0,0,0,0,0,0,0,18108,1581,920,11039,0,11684,0,7973,32000,2200,0,10,0,237683,1508,12814,398853,-921,10432
2003-06-04,0,0,0,0,0,0,0,7,0,0,58,0,0,0,0,0,0,0,0,0,18093,1579,909,11040,0,10969,0,8014,19000,2200,0,10,0,238223,1512,12814,398853,-926,10398
2003-06-11,0,0,0,0,0,0,0,0,0,0,64,0,0,0,0,0,0,0,0,0,18208,1579,926,11040,0,8292,0,8437,32500,2200,0,10,0,238430,1505,12814,398853,-928,10365
2003-06-18,0,0,0,0,0,0,0,3,0,0,83,0,0,0,0,0,0,0,0,0,18118,1580,937,11040,0,9999,0,8794,23000,2200,0,10,0,238756,1498,12814,398853,-924,10331
2003-06-25,0,0,0,0,0,0,0,3,0,0,92,0,0,0,0,0,0,0,0,0,18079,1582,941,11040,0,8709,0,9231,32000,2200,0,10,0,238835,1491,12814,398853,-912,10297
2003-07-02,0,0,0,0,0,0,0,1,0,0,91,0,0,0,0,0,0,0,0,0,17951,1581,904,11039,0,10701,0,9185,26000,2200,0,10,0,239201,1484,12814,398853,-909,10264
2003-07-09,0,0,0,0,0,0,0,1,0,0,102,2,0,0,0,0,0,0,0,0,17824,1582,874,11039,0,11282,0,9658,29250,2200,0,10,0,239305,1479,12814,398853,-902,10230
2003-07-16,0,0,0,0,0,0,0,8,0,0,113,0,0,0,0,0,0,0,0,0,17714,1585,872,11039,0,9723,0,9696,24000,2200,0,10,0,239550,1473,12814,398853,-893,10197
2003-07-23,0,0,0,0,0,0,0,1,0,0,118,0,0,0,0,0,0,0,0,0,17921,1588,872,11039,0,8907,0,10131,32000,2200,0,10,0,239692,1468,12814,398853,-885,10164
2003-07-30,0,0,0,0,0,0,0,5,0,0,137,0,0,0,0,0,0,0,0,0,17707,1586,869,11039,0,9107,0,10540,26250,2200,0,10,0,239726,1463,12814,398853,-877,10130
2003-08-06,0,0,0,0,0,0,0,3,0,0,140,0,0,0,0,0,0,0,0,0,17717,1586,870,11039,0,10466,0,10617,18250,2200,0,10,0,239892,1465,12814,398853,-873,10097
2003-08-13,0,0,0,0,0,0,0,16,0,0,148,0,0,0,0,0,0,0,0,0,17770,1587,888,11039,0,10510,0,10972,19000,2200,0,10,0,240142,1469,12814,398853,-868,10063
2003-08-20,0,0,0,0,0,0,0,105,0,0,157,0,0,0,0,0,0,0,0,0,17646,1590,897,11039,0,8723,0,7479,39500,2200,0,10,0,240376,1472,12814,398853,-900,10030
2003-08-27,0,0,0,0,0,0,0,2,0,0,159,0,0,0,0,0,0,0,0,0,17511,1590,887,11039,0,8690,0,7881,29000,2200,0,10,0,240528,1476,12814,398853,-897,9997
2003-09-03,0,0,0,0,0,0,0,27,0,0,153,0,0,0,0,0,0,0,0,0,17580,1589,858,11039,0,13746,0,7905,33250,2200,0,10,0,240785,1479,12814,398853,-899,9964
2003-09-10,0,0,0,0,0,0,0,0,0,0,154,0,0,0,0,0,0,0,0,0,17813,1590,850,11039,0,9080,0,8302,22500,2200,0,10,0,241020,1523,13454,399595,-900,10070
2003-09-17,0,0,0,0,0,0,0,2,0,0,162,0,0,0,0,0,0,0,0,0,17935,1591,848,11039,0,8428,0,8660,29250,2200,0,10,0,241367,1526,13454,399595,-896,10037
2003-09-24,0,0,0,0,0,0,0,172,0,0,170,0,0,0,0,0,0,0,0,0,18456,1595,849,11039,0,7656,0,9061,26000,2200,0,10,0,241414,1530,13454,399595,-891,10004
2003-10-01,0,0,0,0,0,0,0,20,0,0,131,0,0,0,0,0,0,0,0,0,18750,1594,839,11039,0,8691,0,9159,36750,2200,0,10,0,241601,1535,13454,399595,-890,9966
2003-10-08,0,0,0,0,0,0,0,5,0,0,109,0,0,0,0,0,0,0,0,0,18922,1595,826,11039,0,8735,0,9586,19750,2200,0,10,0,241672,1548,13454,399595,-888,9934
2003-10-15,0,0,0,0,0,0,0,13,0,0,97,0,0,0,0,0,0,0,0,0,18792,1596,813,11039,0,15629,0,9613,30250,2200,0,10,0,241879,1561,13454,399595,-885,9901
2003-10-22,0,0,0,0,0,0,0,11,0,0,83,0,0,0,0,0,0,0,0,0,18979,1597,810,11039,0,8878,0,10005,25500,2200,0,10,0,242131,1574,13454,399595,-884,9868
2003-10-29,0,0,0,0,0,0,0,11,0,0,71,0,0,0,0,0,0,0,0,0,18930,1596,826,11039,0,7955,0,10423,28000,2200,0,10,0,242308,1587,13454,401322,-886,9935
2003-11-05,0,0,0,0,0,0,0,4,0,0,45,0,0,0,0,0,0,0,0,0,18622,1598,829,11039,0,13655,0,10490,19000,2200,0,10,0,242500,1599,13454,401322,-899,9902
2003-11-12,0,0,0,0,0,0,0,3,0,0,48,0,0,0,0,0,0,0,0,0,18887,1600,819,11039,0,6944,0,10909,24000,2200,0,10,0,242792,1610,13454,402422,-897,9919
2003-11-19,0,0,0,0,0,0,0,3,0,0,44,0,0,0,0,0,0,0,0,0,19080,1602,810,11039,0,9777,0,7326,22000,2200,0,10,0,242958,1621,13454,404669,-912,9918
2003-11-26,0,0,0,0,0,0,0,8,0,0,36,0,0,0,0,0,0,0,0,0,19089,1605,777,11039,0,8425,0,7834,33500,2200,0,10,0,243253,1634,13454,406173,-895,9940
