date,Central bank liquidity swaps,Corporate Credit Facility LLC,Asset-Backed Commercial Paper Money Market Mutual Fund Liquidity Facility (Through 2010-02-03),"Credit extended to American International Group, Inc., Net",Money Market Mutual Fund Liquidity Facility (Post 2020-03-18),Other credit extensions,Payroll Protection Program Liquidity Facility,Primary credit,Primary dealer and other broker-dealer credit (Through 2010-02-03),Primary dealer credit facility (Post 2020-03-17),Seasonal credit,Secondary credit,Term Asset-Backed Securities Loan Facility,Net portfolio holdings of Commercial Paper Funding Facility LLC,Net portfolio holdings of LLCs funded through the Money Market Investor Funding Facility,Term auction credit,Net portfolio holdings of Maiden Lane II LLC,Net portfolio holdings of Maiden Lane III LLC,Net portfolio holdings of Maiden Lane LLC,Net portfolio holdings of TALF LLC,Foreign currency denominated assets,Bank premises,Coin,Gold certificate account,Interdistrict settlement account,Items in process of collection,Net portfolio holdings of Commercial Paper Funding Facility II LLC (Post 2020-04-14),"Other Assets, Consolidated Table",Repurchase agreements,Special drawing rights certificate account,Preferred interests in AIA Aurora LLC and ALICO Holdings LLC,Federal agency debt securities,Mortgage-backed securities,Bills,Inflation compensation,"Notes and bonds, inflation-indexed","Notes and bonds, nominal",Unamortized discounts on securities held outright,Unamortized premiums on securities held outright
2005-01-26,0,0,0,0,0,0,0,42,0,0,26,0,0,0,0,0,0,0,0,0,20958,1778,785,11041,0,6954,0,9959,28750,2200,0,0,0,262970,2320,16108,436429,-1601,9291
2005-02-02,0,0,0,0,0,0,0,71,0,0,12,0,0,0,0,0,0,0,0,0,20803,1781,806,11038,0,8904,0,10115,24250,2200,0,0,0,263005,2356,19108,433429,-1621,9447
2005-02-09,0,0,0,0,0,0,0,17,0,0,13,0,0,0,0,0,0,0,0,0,20459,1783,831,11038,0,11633,0,10494,14500,2200,0,0,0,263005,2336,19108,433429,-1643,9417
2005-02-16,0,0,0,0,0,0,0,7,0,0,19,0,0,0,0,0,0,0,0,0,20661,1783,828,11038,0,8894,0,7001,18500,2200,0,0,0,263005,2316,19108,433429,-1680,9387
2005-02-23,0,0,0,0,0,0,0,6,0,0,19,0,0,0,0,0,0,0,0,0,20916,1784,810,11038,0,10806,0,7396,25250,2200,0,0,0,263005,2297,19108,433429,-1696,9359
2005-03-02,0,0,0,0,0,0,0,306,0,0,20,0,0,0,0,0,0,0,0,0,20870,1791,793,11037,0,8802,0,7514,24250,2200,0,0,0,263005,2286,19108,433096,-1734,9332
2005-03-09,0,0,0,0,0,0,0,1,0,0,31,0,0,0,0,0,0,0,0,0,21180,1793,773,11037,0,8407,0,7881,22000,2200,0,0,0,263005,2296,19108,433096,-1756,9304
2005-03-16,0,0,0,0,0,0,0,20,0,0,38,0,0,0,0,0,0,0,0,0,21201,1797,746,11037,0,7596,0,8251,30250,2200,0,0,0,263005,2306,19108,433096,-1776,9277
2005-03-23,0,0,0,0,0,0,0,0,0,0,43,0,0,0,0,0,0,0,0,0,20687,1801,730,11037,0,8699,0,8646,19250,2200,0,0,0,263005,2316,19108,433096,-1795,9249
2005-03-30,0,0,0,0,0,0,0,10,0,0,52,0,0,0,0,0,0,0,0,0,20507,1806,713,11037,0,6465,0,9003,31750,2200,0,0,0,263005,2326,19108,433096,-1813,9222
2005-04-06,0,0,0,0,0,0,0,2,0,0,63,0,0,0,0,0,0,0,0,0,20335,1802,720,11037,0,8117,0,9117,20000,2200,0,0,0,263005,2352,19108,432885,-1844,9194
2005-04-13,0,0,0,0,0,0,0,0,0,0,76,0,0,0,0,0,0,0,0,0,20495,1803,725,11037,0,7910,0,9547,28250,2200,0,0,0,263005,2381,19108,432885,-1850,9167
2005-04-20,0,0,0,0,0,0,0,0,0,0,88,0,0,0,0,0,0,0,0,0,20689,1805,716,11037,0,8387,0,9599,23750,2200,0,0,0,263005,2410,19108,432885,-1849,9139
2005-04-27,0,0,0,0,0,0,0,4,0,0,101,0,0,0,0,0,0,0,0,0,20636,1809,710,11037,0,7549,0,10013,30750,2200,0,0,0,263005,2439,19108,434085,-1859,9108
2005-05-04,0,0,0,0,0,0,0,3,0,0,121,0,0,0,0,0,0,0,0,0,20742,1810,688,11037,0,8580,0,10102,21500,2200,0,0,0,263005,2473,19108,434785,-1850,9141
2005-05-11,0,0,0,0,0,0,0,1,0,0,138,0,0,0,0,0,0,0,0,0,20545,1814,675,11037,0,7295,0,10517,26000,2200,0,0,0,264263,2511,19108,435683,-1852,9139
2005-05-18,0,0,0,0,0,0,0,4,0,0,138,0,0,0,0,0,0,0,0,0,20311,1815,656,11037,0,6282,0,7282,23750,2200,0,0,0,264288,2549,19108,435683,-1882,9113
2005-05-25,0,0,0,0,0,0,0,3,0,0,146,0,0,0,0,0,0,0,0,0,20208,1818,633,11037,0,5971,0,7708,31000,2200,0,0,0,264515,2587,19108,436781,-1900,9105
2005-06-01,0,0,0,0,0,0,0,0,0,0,143,0,0,0,0,0,0,0,0,0,19822,1817,602,11037,0,10480,0,7865,31500,2200,0,0,0,265015,2625,19108,438678,-1933,9339
2005-06-08,0,0,0,0,0,0,0,0,0,0,149,0,0,0,0,0,0,0,0,0,20032,1821,612,11037,0,7874,0,8255,30500,2200,0,0,0,265015,2659,19108,438678,-1946,9314
2005-06-15,0,0,0,0,0,0,0,0,0,0,151,0,0,0,0,0,0,0,0,0,19644,1823,629,11037,0,6369,0,8559,29000,2200,0,0,0,265015,2693,19108,438678,-1961,9288
2005-06-22,0,0,0,0,0,0,0,21,0,0,176,0,0,0,0,0,0,0,0,0,19707,1829,642,11037,0,6568,0,9431,26250,2200,0,0,0,265015,2760,19533,438678,-1973,9305
2005-06-29,0,0,0,0,0,0,0,29,0,0,218,0,0,0,0,0,0,0,0,0,19577,1831,627,11037,0,6745,0,9384,26000,2200,0,0,0,265015,2795,19533,438678,-1982,9279
2005-07-06,0,0,0,0,0,0,0,1,0,0,221,0,0,0,0,0,0,0,0,0,19279,1816,608,11037,0,12306,0,9501,34000,2200,0,0,0,265015,2796,19533,437374,-1995,9253
2005-07-13,0,0,0,0,0,0,0,11,0,0,228,0,0,0,0,0,0,0,0,0,19440,1814,612,11037,0,7107,0,9897,25250,2200,0,0,0,265015,2790,19533,437374,-2008,9228
2005-07-20,0,0,0,0,0,0,0,738,0,0,251,0,0,0,0,0,0,0,0,0,19305,1822,620,11037,0,6337,0,9788,33750,2200,0,0,0,265015,2785,19533,437374,-2019,9199
2005-07-27,0,0,0,0,0,0,0,12,0,0,266,470,0,0,0,0,0,0,0,0,19395,1821,625,11037,0,6369,0,10112,31000,2200,0,0,0,265015,2780,19533,437374,-2035,9169
2005-08-03,0,0,0,0,0,0,0,3063,0,0,267,0,0,0,0,0,0,0,0,0,19759,1825,625,11037,0,6738,0,10244,32000,2200,0,0,0,265015,2778,19533,437374,-2070,9140
2005-08-10,0,0,0,0,0,0,0,2,0,0,283,0,0,0,0,0,0,0,0,0,19801,1827,636,11037,0,6920,0,10615,24500,2200,0,0,0,265015,2781,19533,437374,-2094,9111
2005-08-17,0,0,0,0,0,0,0,924,0,0,310,0,0,0,0,0,0,0,0,0,19837,1829,644,11037,0,8560,0,7187,28500,2200,0,0,0,266259,2783,19533,438764,-2168,9083
2005-08-24,0,0,0,0,0,0,0,12,0,0,334,0,0,0,0,0,0,0,0,0,19739,1832,650,11037,0,6490,0,7578,26000,2200,0,0,0,267508,2786,19533,439752,-2214,9078
2005-08-31,0,0,0,0,0,0,0,22,0,0,314,0,0,0,0,0,0,0,0,0,19790,1834,659,11037,0,8417,0,7608,35500,2200,0,0,0,267766,2789,19533,440292,-2246,9060
2005-09-07,0,0,0,0,0,0,0,25,0,0,305,0,0,0,0,0,0,0,0,0,19955,1832,655,11037,0,11723,0,8029,31500,2200,0,0,0,267780,2813,19533,440292,-2266,9034
2005-09-14,0,0,0,0,0,0,0,13,0,0,321,0,0,0,0,0,0,0,0,0,19801,1834,667,11037,0,8401,0,8540,32000,2200,0,0,0,267826,2865,19983,442593,-2327,9043
2005-09-21,0,0,0,0,0,0,0,1,0,0,329,0,0,0,0,0,0,0,0,0,19657,1839,700,11037,0,8997,0,8921,20250,2200,0,0,0,267922,2889,19983,442593,-2340,9017
2005-09-28,0,0,0,0,0,0,0,17,0,0,336,0,0,0,0,0,0,0,0,0,19341,1838,708,11037,0,7172,0,9166,30250,2200,0,0,0,269487,2914,19983,443697,-2388,8990
2005-10-05,0,0,0,0,0,0,0,17,0,0,276,0,0,0,0,0,0,0,0,0,19284,1840,712,11037,0,10848,0,9134,18750,2200,0,0,0,269779,2940,19983,444890,-2426,8963
2005-10-12,0,0,0,0,0,0,0,17,0,0,242,0,0,0,0,0,0,0,0,0,19294,1839,709,11037,0,19589,0,9644,20250,2200,0,0,0,269832,2966,19983,444890,-2443,8937
2005-10-19,0,0,0,0,0,0,0,36,0,0,202,0,0,0,0,0,0,0,0,0,19172,1841,718,11037,0,9948,0,9598,16250,2200,0,0,0,270149,2993,19983,444890,-2464,8910
2005-10-26,0,0,0,0,0,0,0,8,0,0,168,0,0,0,0,0,0,0,0,0,19240,1844,727,11037,0,7143,0,10019,21750,2200,0,0,0,270649,3019,19983,445890,-2499,8884
2005-11-02,0,0,0,0,0,0,0,0,0,0,128,0,0,0,0,0,0,0,0,0,19165,1843,727,11036,0,9205,0,10035,14500,2200,0,0,0,270781,3057,19983,446792,-2531,9004
2005-11-09,0,0,0,0,0,0,0,13,0,0,118,0,0,0,0,0,0,0,0,0,18826,1842,730,11036,0,8001,0,10485,24500,2200,0,0,0,271018,3122,19983,447592,-2561,8977
2005-11-16,0,0,0,0,0,0,0,7,0,0,100,0,0,0,0,0,0,0,0,0,18649,1841,728,11036,0,13158,0,7525,20000,2200,0,0,0,271018,3188,19983,448688,-2623,8951
2005-11-23,0,0,0,0,0,0,0,11,0,0,97,0,0,0,0,0,0,0,0,0,18800,1843,706,11036,0,8499,0,7873,32500,2200,0,0,0,271270,3263,19983,449784,-2637,8928
2005-11-30,0,0,0,0,0,0,0,4,0,0,81,0,0,0,0,0,0,0,0,0,18736,1846,684,11037,0,7972,0,7860,35250,2200,0,0,0,271270,3319,19983,449595,-2693,8910
2005-12-07,0,0,0,0,0,0,0,51,0,0,68,0,0,0,0,0,0,0,0,0,18596,1849,695,11037,0,9179,0,8285,32000,2200,0,0,0,271270,3330,19983,449595,-2701,8888
2005-12-14,0,0,0,0,0,0,0,12,0,0,77,0,0,0,0,0,0,0,0,0,19171,1848,711,11037,0,9586,0,8774,28250,2200,0,0,0,271270,3341,19983,449595,-2711,8866
2005-12-21,0,0,0,0,0,0,0,2,0,0,72,0,0,0,0,0,0,0,0,0,18928,1856,704,11037,0,10209,0,9070,45000,2200,0,0,0,271270,3351,19983,449595,-2713,8844
2005-12-28,0,0,0,0,0,0,0,41,0,0,73,0,0,0,0,0,0,0,0,0,18973,1826,688,11037,0,8958,0,9544,45250,2200,0,0,0,271270,3362,19983,449595,-2714,8822
2006-01-04,0,0,0,0,0,0,0,8,0,0,29,0,0,0,0,0,0,0,0,0,19269,1820,683,11039,0,14132,0,9535,46500,2200,0,0,0,271270,3342,19983,448274,-2710,8800
2006-01-11,0,0,0,0,0,0,0,55,0,0,24,0,0,0,0,0,0,0,0,0,19482,1821,708,11039,0,9572,0,10394,25000,2200,0,0,0,271585,3345,20431,449118,-2718,8817
2006-01-18,0,0,0,0,0,0,0,2026,0,0,31,0,0,0,0,0,0,0,0,0,19340,1822,729,11039,0,16579,0,9914,23250,2200,0,0,0,272834,3302,20431,449118,-2733,8793
2006-01-25,0,0,0,0,0,0,0,2,0,0,28,0,0,0,0,0,0,0,0,0,19475,1823,770,11039,0,6785,0,10351,25000,2200,0,0,0,272834,3258,20431,450065,-2758,8796
2006-02-01,0,0,0,0,0,0,0,30,0,0,25,0,0,0,0,0,0,0,0,0,19186,1824,810,11040,0,9989,0,10405,23000,2200,0,0,0,272854,3210,22196,450580,-2855,8795
2006-02-08,0,0,0,0,0,0,0,9,0,0,31,0,0,0,0,0,0,0,0,0,18990,1824,830,11040,0,8916,0,10848,19500,2200,0,0,0,272868,3184,22196,450580,-2884,8771
2006-02-15,0,0,0,0,0,0,0,430,0,0,33,0,0,0,0,0,0,0,0,0,19000,1820,846,11040,0,6584,0,7457,29750,2200,0,0,0,274142,3158,22196,451830,-2955,8748
2006-02-22,0,0,0,0,0,0,0,14,0,0,30,59,0,0,0,0,0,0,0,0,18986,1820,841,11040,0,12267,0,7831,29000,2200,0,0,0,274142,3133,22196,453078,-2981,8724
2006-03-01,0,0,0,0,0,0,0,4,0,0,34,0,0,0,0,0,0,0,0,0,19146,1821,826,11040,0,9334,0,7892,27750,2200,0,0,0,274142,3117,22196,455227,-3047,8883
2006-03-08,0,0,0,0,0,0,0,0,0,0,43,0,0,0,0,0,0,0,0,0,19048,1821,820,11040,0,9405,0,8299,26500,2200,0,0,0,274142,3160,22196,456077,-3084,8861
2006-03-15,0,0,0,0,0,0,0,12,0,0,48,0,0,0,0,0,0,0,0,0,19216,1822,799,11040,0,7536,0,8658,29750,2200,0,0,0,274142,3247,22646,457177,-3151,8877
2006-03-22,0,0,0,0,0,0,0,148,0,0,53,0,0,0,0,0,0,0,0,0,19308,1825,795,11040,0,6090,0,9038,25750,2200,0,0,0,274142,3292,22646,457177,-3162,8854
2006-03-29,0,0,0,0,0,0,0,192,0,0,58,0,0,0,0,0,0,0,0,0,19180,1824,789,11040,0,6218,0,9461,19500,2200,0,0,0,275370,3336,22646,457177,-3187,8830
2006-04-05,0,0,0,0,0,0,0,0,0,0,64,0,0,0,0,0,0,0,0,0,19425,1832,797,11039,0,7703,0,9490,19250,2200,0,0,0,275370,3358,22646,457177,-3179,8807
2006-04-12,0,0,0,0,0,0,0,3676,0,0,79,0,0,0,0,0,0,0,0,0,19219,1833,798,11039,0,6208,0,9968,18750,2200,0,0,0,275370,3370,22646,457177,-3149,8783
2006-04-19,0,0,0,0,0,0,0,8,0,0,80,0,0,0,0,0,0,0,0,0,19506,1833,801,11039,0,6421,0,10003,21250,2200,0,0,0,275370,3382,22646,457177,-3119,8760
2006-04-26,0,0,0,0,0,0,0,1,0,0,105,0,0,0,0,0,0,0,0,0,19824,1833,805,11039,0,7739,0,10449,26750,2200,0,0,0,275370,3394,22646,458273,-3139,8736
2006-05-03,0,0,0,0,0,0,0,5,0,0,130,0,0,0,0,0,0,0,0,0,20086,1835,803,11037,0,7687,0,10387,25750,2200,0,0,0,275370,3415,22646,458273,-3146,8713
2006-05-10,0,0,0,0,0,0,0,248,0,0,137,0,0,0,0,0,0,0,0,0,20459,1836,781,11037,0,6298,0,10870,20500,2200,0,0,0,275370,3448,22646,458273,-3141,8690
2006-05-17,0,0,0,0,0,0,0,21,0,0,157,0,0,0,0,0,0,0,0,0,20390,1836,767,11037,0,8770,0,7868,21500,2200,0,0,0,275370,3480,22646,458155,-3215,8667
2006-05-24,0,0,0,0,0,0,0,18,0,0,161,0,0,0,0,0,0,0,0,0,20253,1836,743,11037,0,7126,0,8330,22500,2200,0,0,0,275370,3513,22646,460850,-3286,8670
2006-05-31,0,0,0,0,0,0,0,20,0,0,187,0,0,0,0,0,0,0,0,0,20381,1837,716,11037,0,10386,0,8284,30750,2200,0,0,0,275370,3545,22646,460850,-3303,8650
2006-06-07,0,0,0,0,0,0,0,4,0,0,216,0,0,0,0,0,0,0,0,0,20275,1847,703,11037,0,8336,0,8756,26750,2200,0,0,0,275370,3597,22646,463264,-3409,8627
2006-06-14,0,0,0,0,0,0,0,12,0,0,233,0,0,0,0,0,0,0,0,0,20016,1852,722,11037,0,6020,0,9261,24250,2200,0,0,0,275370,3649,22646,464580,-3432,8607
2006-06-21,0,0,0,0,0,0,0,11,0,0,260,0,0,0,0,0,0,0,0,0,20061,1854,729,11037,0,6596,0,9503,22250,2200,0,0,0,275370,3701,22646,464580,-3444,8586
2006-06-28,0,0,0,0,0,0,0,11,0,0,289,0,0,0,0,0,0,0,0,0,19826,1855,720,11037,0,5866,0,9922,22500,2200,0,0,0,275370,3753,22646,464580,-3462,8566
2006-07-05,0,0,0,0,0,0,0,6,0,0,276,0,0,0,0,0,0,0,0,0,20068,1857,696,11037,0,7403,0,9849,28250,2200,0,0,0,275370,3789,22646,464580,-3490,8545
2006-07-12,0,0,0,0,0,0,0,52,0,0,304,0,0,0,0,0,0,0,0,0,20074,1858,711,11037,0,6526,0,10403,20750,2200,0,0,0,275370,3819,22646,464580,-3495,8525
2006-07-19,0,0,0,0,0,0,0,23,0,0,321,0,0,0,0,0,0,0,0,0,19827,1860,736,11037,0,6030,0,10281,29000,2200,0,0,0,277019,3869,24783,459061,-3551,8502
2006-07-26,0,0,0,0,0,0,0,25,0,0,346,0,0,0,0,0,0,0,0,0,19914,1864,750,11037,0,4990,0,10693,21000,2200,0,0,0,277019,3900,24783,459061,-3549,8479
2006-08-02,0,0,0,0,0,0,0,914,0,0,337,0,0,0,0,0,0,0,0,0,20243,1866,757,11037,0,6281,0,10677,27750,2200,0,0,0,277019,3952,26019,457826,-3670,8456
2006-08-09,0,0,0,0,0,0,0,25,0,0,336,0,0,0,0,0,0,0,0,0,20292,1867,764,11037,0,6330,0,11137,17500,2200,0,0,0,277019,3966,26019,457826,-3676,8433
2006-08-16,0,0,0,0,0,0,0,19,0,0,342,0,0,0,0,0,0,0,0,0,20237,1870,769,11037,0,5113,0,7725,25250,2200,0,0,0,277019,3979,26019,457826,-3837,8410
2006-08-23,0,0,0,0,0,0,0,10,0,0,357,0,0,0,0,0,0,0,0,0,20128,1877,776,11037,0,5230,0,8199,19750,2200,0,0,0,277019,3992,26019,457826,-3850,8387
2006-08-30,0,0,0,0,0,0,0,331,0,0,361,0,0,0,0,0,0,0,0,0,20120,1877,781,11037,0,5434,0,8686,30250,2200,0,0,0,277019,4006,26019,459695,-3881,8364
2006-09-06,0,0,0,0,0,0,0,7,0,0,341,0,0,0,0,0,0,0,0,0,20116,1882,780,11037,0,15716,0,8512,19750,2200,0,0,0,277019,4025,26019,459695,-3918,8341
2006-09-13,0,0,0,0,0,0,0,1677,0,0,346,0,0,0,0,0,0,0,0,0,19998,1886,809,11037,0,5869,0,8922,16000,2200,0,0,0,277019,4046,26019,461791,-3992,8390
2006-09-20,0,0,0,0,0,0,0,11,0,0,352,0,0,0,0,0,0,0,0,0,20011,1888,837,11037,0,5481,0,9276,15000,2200,0,0,0,277019,4067,26019,461791,-3999,8367
2006-09-27,0,0,0,0,0,0,0,11,0,0,355,0,0,0,0,0,0,0,0,0,20000,1889,858,11037,0,4202,0,9724,27500,2200,0,0,0,277019,4087,26019,461791,-4003,8344
2006-10-04,0,0,0,0,0,0,0,1,0,0,266,0,0,0,0,0,0,0,0,0,19963,1901,848,11037,0,6561,0,9582,18250,2200,0,0,0,277019,4104,26019,461791,-4004,8321
2006-10-11,0,0,0,0,0,0,0,13,0,0,221,0,0,0,0,0,0,0,0,0,19740,1901,836,11037,0,13844,0,10063,28250,2200,0,0,0,277019,4117,26019,461791,-3981,8298
2006-10-18,0,0,0,0,0,0,0,217,0,0,187,0,0,0,0,0,0,0,0,0,19745,1899,830,11037,0,5495,0,10123,22750,2200,0,0,0,277019,4143,27430,458058,-3977,8282
2006-10-25,0,0,0,0,0,0,0,6,0,0,166,0,0,0,0,0,0,0,0,0,19821,1902,831,11037,0,4409,0,10600,30000,2200,0,0,0,277019,4157,27430,459815,-3972,8259
2006-11-01,0,0,0,0,0,0,0,58,0,0,139,0,0,0,0,0,0,0,0,0,20143,1912,834,11037,0,11271,0,10450,25000,2200,0,0,0,277019,4223,29611,459065,-4012,8242
2006-11-08,0,0,0,0,0,0,0,196,0,0,122,0,0,0,0,0,0,0,0,0,20105,1904,847,11037,0,6569,0,10909,31500,2200,0,0,0,277019,4236,30105,459065,-4009,8230
2006-11-15,0,0,0,0,0,0,0,1,0,0,117,0,0,0,0,0,0,0,0,0,20122,1909,833,11037,0,4885,0,5958,35250,2200,0,0,0,277019,4197,30105,458730,-4011,8208
2006-11-22,0,0,0,0,0,0,0,43,0,0,96,0,0,0,0,0,0,0,0,0,20345,1910,805,11037,0,4270,0,6516,43000,2200,0,0,0,277019,4152,30105,460598,-3967,8192
2006-11-29,0,0,0,0,0,0,0,26,0,0,102,0,0,0,0,0,0,0,0,0,20581,1912,786,11037,0,3914,0,6944,33000,2200,0,0,0,277019,4118,30105,461368,-3981,8367
2006-12-06,0,0,0,0,0,0,0,183,0,0,84,0,0,0,0,0,0,0,0,0,20828,1923,814,11037,0,9265,0,6847,32000,2200,0,0,0,277019,4077,30105,463015,-3962,8583
2006-12-13,0,0,0,0,0,0,0,853,0,0,84,0,0,0,0,0,0,0,0,0,20584,1921,827,11037,0,9268,0,7296,21250,2200,0,0,0,277019,4035,30105,464445,-3953,8564
2006-12-20,0,0,0,0,0,0,0,5,0,0,85,0,0,0,0,0,0,0,0,0,20497,1931,821,11037,0,6767,0,7683,33500,2200,0,0,0,277019,3993,30105,466522,-3935,8732
2006-12-27,0,0,0,0,0,0,0,407,0,0,81,0,0,0,0,0,0,0,0,0,20426,1944,800,11037,0,6311,0,8204,36000,2200,0,0,0,277019,3951,30105,467864,-3906,8719
2007-01-03,0,0,0,0,0,0,0,1239,0,0,23,0,0,0,0,0,0,0,0,0,20422,1945,797,11037,0,6733,0,8030,39750,2200,0,0,0,277019,3922,30105,467864,-3898,8700
2007-01-10,0,0,0,0,0,0,0,2,0,0,19,0,0,0,0,0,0,0,0,0,20219,1944,865,11037,0,6070,0,8520,21500,2200,0,0,0,277019,3911,30105,467864,-3871,8680
2007-01-17,0,0,0,0,0,0,0,1735,0,0,21,0,0,0,0,0,0,0,0,0,20167,1944,908,11037,0,10770,0,8578,19750,2200,0,0,0,277019,3417,30587,467864,-3855,8661
2007-01-24,0,0,0,0,0,0,0,5,0,0,21,0,0,0,0,0,0,0,0,0,20176,1949,984,11037,0,3919,0,9578,19000,2200,0,0,0,277019,3406,30587,467864,-3829,8642
2007-01-31,0,0,0,0,0,0,0,1309,0,0,18,0,0,0,0,0,0,0,0,0,20201,1962,1069,11037,0,3558,0,9550,32000,2200,0,0,0,277019,3393,31776,466675,-3829,8622
2007-02-07,0,0,0,0,0,0,0,0,0,0,23,0,0,0,0,0,0,0,0,0,20255,1956,1040,11037,0,5986,0,10035,19750,2200,0,0,0,277019,3406,31776,466675,-3811,8603
2007-02-14,0,0,0,0,0,0,0,25,0,0,24,0,0,0,0,0,0,0,0,0,20355,1959,1029,11037,0,7226,0,10530,30000,2200,0,0,0,277019,3419,31776,466675,-3806,8583
2007-02-21,0,0,0,0,0,0,0,18,0,0,23,0,0,0,0,0,0,0,0,0,20352,1960,1001,11037,0,9668,0,6915,34000,2200,0,0,0,277019,3432,31776,466675,-3822,8564
2007-02-28,0,0,0,0,0,0,0,0,0,0,22,0,0,0,0,0,0,0,0,0,20636,1974,985,11037,0,3835,0,6785,45250,2200,0,0,0,277019,3446,31776,468553,-3858,8546
2007-03-07,0,0,0,0,0,0,0,16,0,0,27,0,0,0,0,0,0,0,0,0,20699,1969,977,11037,0,4762,0,7275,31250,2200,0,0,0,277019,3470,31776,468553,-3871,8527
2007-03-14,0,0,0,0,0,0,0,0,0,0,27,0,0,0,0,0,0,0,0,0,20789,1969,952,11037,0,3750,0,7672,43000,2200,0,0,0,277019,3494,31776,468553,-3878,8508
2007-03-21,0,0,0,0,0,0,0,1,0,0,29,0,0,0,0,0,0,0,0,0,20770,1974,931,11037,0,3593,0,8001,29750,2200,0,0,0,277019,3518,31776,468553,-3885,8489
2007-03-28,0,0,0,0,0,0,0,0,0,0,28,0,0,0,0,0,0,0,0,0,20873,1975,921,11037,0,3672,0,8468,36000,2200,0,0,0,277019,3543,31776,468553,-3878,8470
2007-04-04,0,0,0,0,0,0,0,1,0,0,31,0,0,0,0,0,0,0,0,0,20786,1986,939,11037,0,4397,0,8318,28000,2200,0,0,0,277019,3578,31776,468553,-3866,8451
2007-04-11,0,0,0,0,0,0,0,1,0,0,48,0,0,0,0,0,0,0,0,0,20822,1988,963,11037,0,4205,0,8816,28750,2200,0,0,0,277019,3622,31776,470399,-3834,8712
2007-04-18,0,0,0,0,0,0,0,1,0,0,51,0,0,0,0,0,0,0,0,0,21037,1991,976,11037,0,4285,0,9010,24000,2200,0,0,0,277019,3666,31776,470399,-3794,8692
2007-04-25,0,0,0,0,0,0,0,0,0,0,56,0,0,0,0,0,0,0,0,0,21094,1990,1019,11037,0,3477,0,9533,38000,2200,0,0,0,277019,3736,32336,474059,-3775,8676
2007-05-02,0,0,0,0,0,0,0,3,0,0,73,0,0,0,0,0,0,0,0,0,20961,2003,1073,11037,0,5499,0,9415,48000,2200,0,0,0,277019,3796,34459,471936,-3758,8656
2007-05-09,0,0,0,0,0,0,0,7,0,0,75,0,0,0,0,0,0,0,0,0,20941,2006,1016,11037,0,5087,0,9906,29000,2200,0,0,0,277019,3875,34459,474672,-3728,8641
2007-05-16,0,0,0,0,0,0,0,7,0,0,86,0,0,0,0,0,0,0,0,0,20863,2005,949,11037,0,3342,0,6931,18000,2200,0,0,0,277019,3953,34459,474672,-3767,8622
2007-05-23,0,0,0,0,0,0,0,0,0,0,118,0,0,0,0,0,0,0,0,0,20784,2014,905,11037,0,4128,0,7447,31250,2200,0,0,0,277019,4032,34459,474672,-3741,8604
2007-05-30,0,0,0,0,0,0,0,1,0,0,120,0,0,0,0,0,0,0,0,0,20736,2016,880,11037,0,7168,0,7946,31000,2200,0,0,0,277019,4111,34459,474672,-3729,8585
2007-06-06,0,0,0,0,0,0,0,43,0,0,111,0,0,0,0,0,0,0,0,0,20842,2026,893,11037,0,5276,0,7841,28500,2200,0,0,0,277019,4172,34459,474672,-3746,8567
2007-06-13,0,0,0,0,0,0,0,0,0,0,142,0,0,0,0,0,0,0,0,0,20580,2028,914,11037,0,3588,0,8224,22000,2200,0,0,0,277019,4231,34459,474672,-3759,8548
2007-06-20,0,0,0,0,0,0,0,771,0,0,162,0,0,0,0,0,0,0,0,0,20639,2036,932,11037,0,4524,0,8598,21000,2200,0,0,0,277019,4289,34459,474672,-3769,8530
2007-06-27,0,0,0,0,0,0,0,5,0,0,182,0,0,0,0,0,0,0,0,0,20724,2039,938,11037,0,4530,0,9055,20000,2200,0,0,0,277019,4347,34459,474672,-3770,8511
2007-07-04,0,0,0,0,0,0,0,5,0,0,181,0,0,0,0,0,0,0,0,0,20918,2045,924,11037,0,6913,0,8877,30250,2200,0,0,0,277019,4403,34459,474672,-3788,8493
2007-07-11,0,0,0,0,0,0,0,2,0,0,205,0,0,0,0,0,0,0,0,0,21083,2046,927,11037,0,10357,0,9413,20500,2200,0,0,0,277019,4457,34459,474672,-3791,8475
2007-07-18,0,0,0,0,0,0,0,17,0,0,234,0,0,0,0,0,0,0,0,0,21163,2046,981,11037,0,4280,0,9433,27250,2200,0,0,0,277019,4510,34459,474672,-3791,8455
2007-07-25,0,0,0,0,0,0,0,3,0,0,243,0,0,0,0,0,0,0,0,0,21177,2055,1047,11037,0,2905,0,9931,18750,2200,0,0,0,277019,4564,34459,474672,-3791,8428
2007-08-01,0,0,0,0,0,0,0,2,0,0,233,0,0,0,0,0,0,0,0,0,21267,2053,1096,11037,0,3207,0,9845,24750,2200,0,0,0,277019,4653,35753,473378,-3851,8401
2007-08-08,0,0,0,0,0,0,0,0,0,0,255,0,0,0,0,0,0,0,0,0,21330,2063,1062,11037,0,3968,0,10291,18750,2200,0,0,0,277019,4670,35753,473378,-3856,8374
2007-08-15,0,0,0,0,0,0,0,4,0,0,260,0,0,0,0,0,0,0,0,0,21195,2067,1038,11037,0,3297,0,6648,24000,2200,0,0,0,277019,4688,35753,472142,-3974,8347
